reviewer,time,context,ranking,Chi nhánh,Sentiment,pre_context,tokens
Nhi Trương,một tháng trước,Mua vé xong có chuyện gấp không xem được không hỗ trợ trả vé hoặc chuyển sang ngày khác. Làm ăn xem lại 🙂 …,1,CGV Cresent Mall,0,mua vé xong gấp hỗ trợ vé,"['mua', 'vé', 'xong', 'gấp', 'hỗ_trợ', 'vé']"
Gia Bảo Lê,2 tháng trước,"Nhân viên lúc nào cũng cố tình gài combo, phát hiện kêu đổi thì thái độ khó chịu
Đi 10 lần cả 10 lần đều thế",1,CGV Lý Chính Thắng,0,nhân viên cố tình gài combo phát hiện kêu đổi thái độ đi 10 10,"['nhân_viên', 'cố_tình', 'gài', 'combo', 'phát_hiện', 'kêu', 'đổi', 'thái_độ', 'đi', '10', '10']"
Thính Thích Thả,2 tháng trước,Ép khách mua combo trong khi khách bảo 2 nước :3 phim sát giờ quá với đi cùng người thân nên không muốn nói nhiều.,1,CGV Vincom Thủ Đức,0,ép mua combo bảo 2 3 phim sát đi thân,"['ép', 'mua', 'combo', 'bảo', '2', '3', 'phim', 'sát', 'đi', 'thân']"
Huy Tran,5 tháng trước,"Nhân viên tư vấn không nắm rõ giá combo, thanh toán tiền xong lại yêu cầu thêm. Thái độ phục vụ không chuyên nghiệp",1,CGV Hùng Vương Plaza,0,nhân viên tư vấn nắm giá combo toán tiền xong yêu cầu thái độ phục vụ chuyên nghiệp,"['nhân_viên', 'tư_vấn', 'nắm', 'giá', 'combo', 'toán', 'tiền', 'xong', 'yêu_cầu', 'thái_độ', 'phục_vụ', 'chuyên_nghiệp']"
dangtrinhhh,8 tháng trước,Bị nhân viên up sale rồi đổ thừa do rạp đông trong khi lúc đó vắng tanh. Mọi người cẩn thận khi mua bắp nước ở đây.,1,CGV Pandora City,0,nhân viên up sale đổ thừa rạp đông vắng cẩn thận mua bắp,"['nhân_viên', 'up', 'sale', 'đổ_thừa', 'rạp', 'đông', 'vắng', 'cẩn_thận', 'mua', 'bắp']"
thy phạm,một năm trước,"Nhân viên thái độ lòi lõm, nhà vệ sinh ko cho khách sử dụng, phải mua vé hoặc bắp nước mới cho đi vệ sinh nha hahaaa",1,CGV CT,0,nhân viên thái độ lòi lõm vệ sinh ko sử dụng mua vé bắp đi vệ sinh nha hahaaa,"['nhân_viên', 'thái_độ', 'lòi', 'lõm', 'vệ_sinh', 'ko', 'sử_dụng', 'mua', 'vé', 'bắp', 'đi', 'vệ_sinh', 'nha_hahaaa']"
thang loi nguyen tran,2 năm trước,"Đang xem phim mà hai lần có còi báo di tản , mình lập tức chạy ra mà không hề có nhân viên hướng dẫn và giải thích .",1,CGV Vincom Center Landmark,0,phim hai còi báo di tản lập tức chạy hề nhân viên hướng giải,"['phim', 'hai', 'còi', 'báo', 'di_tản_lập_tức', 'chạy', 'hề', 'nhân_viên', 'hướng', 'giải']"
Thanh Thanh,5 năm trước,"NHÂN VIÊN BÁN VÉ LỪA DỐI KHÁCH HÀNG.

Mình mua vé kèm combo bắp nước, đã 3 lần yêu cầu các bạn chỉ lấy bắp nước và …",1,CGV Cresent Mall,0,nhân viên vé lừa dối hàng mua vé kèm combo bắp 3 yêu cầu bắp,"['nhân_viên', 'vé', 'lừa_dối', 'hàng', 'mua', 'vé', 'kèm', 'combo', 'bắp', '3', 'yêu_cầu', 'bắp']"
Captain America,6 năm trước,"Hầm giữ xe thúi quắc. Các trung tâm khác đều miễn phí gửi xe, ở đây thu tới 5k. Nhân viên CGV cũng ko thân thiện lắm.",1,CGV CT,0,hầm xe thúi quắc trung tâm miễn phí gửi xe thu 5k nhân viên cgv ko thân thiện lắm,"['hầm', 'xe', 'thúi', 'quắc', 'trung_tâm', 'miễn_phí', 'gửi', 'xe', 'thu', '5k', 'nhân_viên', 'cgv', 'ko', 'thân_thiện', 'lắm']"
Linh Lê Bật,một tháng trước,Vẫn là CGV với trò up sale bắp nước bất chấp. Bạn nào đi xem phim thì mua trước trên app cho đỡ mắc công thắc mắc nhé.,1,CGV Vivo City,0,cgv trò up sale bắp bất chấp đi phim mua app đỡ mắc công thắc mắc,"['cgv', 'trò', 'up', 'sale', 'bắp', 'bất_chấp', 'đi', 'phim', 'mua', 'app', 'đỡ', 'mắc', 'công', 'thắc_mắc']"
Quốc Bảo Thới,6 tháng trước,(Tiền vé 95k + phí phục vụ 5k) x2 = 200k thêm 2 nước coca. Tổng bill 463k => 2 nước coca  là 263k. Làm tiền đỉnh lắm :),1,CGV Cresent Mall,0,tiền vé 95k + phí phục vụ 5k x2 = 200k 2 coca tổng bill 463k => 2 coca 263k tiền đỉnh lắm,"['tiền', 'vé', '95k', '+', 'phí', 'phục_vụ', '5k', 'x2', '=', '200k', '2', 'coca', 'tổng_bill', '463k', '=', '>', '2', 'coca', '263k', 'tiền', 'đỉnh', 'lắm']"
hoàng việt,3 năm trước,"Book suất 22h05 22h10 tới không có 1 lối đi xuống, mọi cửa đều đóng và không có 1 chỉ dẫn. Ờ mây zing, gút chóp CGV 👍 …",1,CGV Vincom Center Landmark,0,book suất 22h05 22h10 1 lối đi cửa đóng 1 mây zing gút chóp cgv,"['book', 'suất', '22h05', '22h10', '1', 'lối', 'đi', 'cửa', 'đóng', '1', 'mây', 'zing', 'gút', 'chóp', 'cgv']"
Vi Vu,4 tháng trước,"Rạp phim có mình mình, nhân viên lười không thèm vào tắt đèn đóng cửa rạp, ngồi coi phim mà đèn chiếu xuống rất khó chịu",1,CGV Hoàng Văn Thụ,0,rạp phim nhân viên lười thèm tắt đèn đóng cửa rạp coi phim đèn chiếu,"['rạp', 'phim', 'nhân_viên', 'lười', 'thèm', 'tắt', 'đèn', 'đóng_cửa', 'rạp', 'coi', 'phim', 'đèn_chiếu']"
Kai Phạm,6 tháng trước,Mua vé xem qua 12h đêm nhân viên không báo hay đóng dấu gì. Ra lấy xe đưa vé k dấu thì tốn 55k giữ xe. Thiếu trách nhiệm,1,CGV Sư Vạn Hạnh,0,mua vé 12h đêm nhân viên báo đóng dấu xe vé k dấu tốn 55k xe trách nhiệm,"['mua', 'vé', '12h', 'đêm', 'nhân_viên', 'báo', 'đóng_dấu', 'xe', 'vé', 'k', 'dấu', 'tốn', '55k', 'xe', 'trách_nhiệm']"
Catreet,3 tháng trước,"TUYỆT ĐỐI KHÔNG MUA COMBO NV GIỚI THIỆU
TUYỆT ĐỐI KHÔNG MUA COMBO NV GIỚI THIỆU
TUYỆT ĐỐI KHÔNG MUA COMBO NV GIỚI THIỆU …",1,CGV Lý Chính Thắng,0,tuyệt đối mua combo nv giới thiệu tuyệt đối mua combo nv giới thiệu tuyệt đối mua combo nv giới thiệu,"['tuyệt_đối', 'mua', 'combo', 'nv', 'giới_thiệu', 'tuyệt_đối', 'mua', 'combo', 'nv', 'giới_thiệu', 'tuyệt_đối', 'mua', 'combo', 'nv', 'giới_thiệu']"
ĐẠT TRỊNH,2 năm trước,"Ngày thường CGV vắng hoe, chả ai soát vé. Không khí rạp có vẻ âm u. Không nên đi nha mng. Qua Aeon, Vạn Hạnh Mall mà xem.",1,CGV Pandora City,0,cgv vắng hoe chả soát vé khí rạp vẻ âm u đi nha mng aeon vạn hạnh mall,"['cgv', 'vắng_hoe', 'chả', 'soát', 'vé', 'khí', 'rạp_vẻ', 'âm_u', 'đi', 'nha', 'mng', 'aeon', 'vạn', 'hạnh', 'mall']"
Nguyệt Tích,một năm trước,"Nhân viên không tôn trọng lời nói của khách hàng, giao bắp sai, không nói với khách hàng về combo sản phẩm, không đưa bill",1,CGV Vincom Gò vấp,0,nhân viên tôn trọng hàng giao bắp sai hàng combo sản phẩm bill,"['nhân_viên', 'tôn_trọng', 'hàng', 'giao', 'bắp', 'sai', 'hàng', 'combo', 'sản_phẩm', 'bill']"
Trâm Lưu,7 tháng trước,"Khoan hẳn nói về chất lượng rạp vì ấn tượng đầu tiên sẽ ở quầy ticket box.
Nhân viên có thái độ khó chịu với khách",1,CGV Giga Mall Thủ Đức,0,khoan hẳn chất rạp ấn tượng đầu tiên quầy ticket box nhân viên thái độ,"['khoan', 'hẳn', 'chất', 'rạp', 'ấn_tượng', 'đầu_tiên', 'quầy', 'ticket', 'box', 'nhân_viên', 'thái_độ']"
Tú Âu,11 tháng trước,"Đang xem khúc cao trào thì mất ảnh chỉ còn tiếng, tua đi tua lại vài lần.
Aquaman suất 4h30 ngày 24/12/2023",1,CGV Liberty Citypoint,0,khúc trào ảnh tiếng tua đi tua aquaman suất 4h30 24 12 2023,"['khúc', 'trào', 'ảnh', 'tiếng', 'tua', 'đi_tua', 'aquaman', 'suất', '4h30', '24', '12', '2023']"
Thanh Tôn Nữ Kim,3 tháng trước,"Nhân viên tư vấn gian dối, mọi khi đi ko để ý phí bắp nước , nay bạn nhân viên tư vấn ko chuyên nghiệp, thất vọng",1,CGV Sư Vạn Hạnh,0,nhân viên tư vấn gian dối đi ko phí bắp nhân viên tư vấn ko chuyên nghiệp thất vọng,"['nhân_viên', 'tư_vấn', 'gian_dối', 'đi', 'ko', 'phí', 'bắp', 'nhân_viên', 'tư_vấn', 'ko', 'chuyên_nghiệp', 'thất_vọng']"
MỸ DUYÊN Nguyễn,4 tháng trước,Nói là tặng quà nhưng mà mỗi lần đến là ko có quà. Mình cũng cố gắng đến sớm lắm r đến nơi là lật lọng ko có quà,1,CGV AEON Bình Tân,0,tặng quà ko quà cố gắng lắm r lật lọng ko quà,"['tặng', 'quà', 'ko', 'quà', 'cố_gắng', 'lắm', 'r', 'lật_lọng', 'ko', 'quà']"
Nguyễn kiều Mơ,7 tháng trước,"Nhân viên quản lý thái độ với khách, đề nghị xem xét lại bạn quản lý này , bạn nữ đeo mắt kính mặt sơ mi đen",1,CGV Vincom Gò vấp,0,nhân viên quản lý thái độ đề nghị xét quản lý nữ đeo mắt kính mặt sơ mi đen,"['nhân_viên', 'quản_lý', 'thái_độ', 'đề_nghị', 'xét', 'quản_lý', 'nữ', 'đeo', 'mắt_kính', 'mặt', 'sơ_mi', 'đen']"
Minh Quang Hoàng,4 tháng trước,"Rạp để suất trễ sau 2h khuya, mà k hỗ trợ phí xe như Sư Vạn Hạnh. Phụ thu tiền gửi xe 60k thiệt là vãi chưởng",1,CGV Vincom Gò vấp,0,rạp suất trễ 2h khuya k hỗ trợ phí xe sư vạn hạnh phụ thu tiền gửi xe 60k thiệt vãi chưởng,"['rạp', 'suất', 'trễ', '2h', 'khuya', 'k', 'hỗ_trợ', 'phí', 'xe', 'sư', 'vạn', 'hạnh', 'phụ_thu', 'tiền', 'gửi', 'xe', '60k', 'thiệt', 'vãi', 'chưởng']"
Hứa Cát Lượng,7 tháng trước,"Mua vé tại quầy và kêu thêm 1 bắp + nước, nhân viên tự đổi thành combo bắp nước và ly giá 250k mà ko hỏi ý. …",1,CGV Sư Vạn Hạnh,0,mua vé quầy kêu 1 bắp + nhân viên đổi thành combo bắp ly giá 250k ko,"['mua', 'vé', 'quầy', 'kêu', '1', 'bắp', '+', 'nhân_viên', 'đổi', 'thành', 'combo', 'bắp', 'ly', 'giá', '250k', 'ko']"
Tâm Cao,5 tháng trước,"Soát vé ngày 6/7/24 lúc 8:15 ở rạp không hỗ trợ khách hàng bằng mọi giá, thái độ rất tệ,  bạn nam lẫn bạn nữ.",1,CGV Sư Vạn Hạnh,0,soát vé 6 7 24 8 15 rạp hỗ trợ hàng giá thái độ tệ nam lẫn nữ,"['soát', 'vé', '6', '7', '24', '8', '15', 'rạp', 'hỗ_trợ', 'hàng', 'giá', 'thái_độ', 'tệ', 'nam', 'lẫn', 'nữ']"
Blue Sky,một năm trước,"Chất lượng hình ảnh  kém,  Màn hình tối,   máy lạnh nóng , hết phim k bật đèn cho khách ,  mãi vẫn k khắc phục",1,CGV Satra Củ Chi,0,chất hình ảnh kém màn hình tối máy lạnh nóng phim k bật đèn mãi k khắc phục,"['chất', 'hình_ảnh', 'kém', 'màn_hình', 'tối', 'máy_lạnh', 'nóng', 'phim', 'k', 'bật', 'đèn', 'mãi', 'k', 'khắc_phục']"
Bảo Quốc Hồ,một tháng trước,"TRẢI NGHIỆM L'AMOUR RẤT TỆ.

Phòng chờ thì tầng 1, phòng chiếu tầng 2, quầy thức ăn nhẹ thì tầng 2. Thiết kế …",1,CGV Hoàng Văn Thụ,0,trải nghiệm l'amour tệ phòng chờ tầng 1 phòng chiếu tầng 2 quầy thức nhẹ tầng 2 thiết kế,"['trải', 'nghiệm', 'l', ""'"", 'amour', 'tệ', 'phòng', 'chờ', 'tầng', '1', 'phòng', 'chiếu', 'tầng', '2', 'quầy', 'thức', 'nhẹ', 'tầng', '2', 'thiết_kế']"
Trịnh Thủy Phương,3 năm trước,"Đặt vé online rồi đến xếp hàng chờ lấy vé thấy bà nội
Khách đông, xếp hàng lâu, chỉ có 1 quầy xuất vé, lâu vl.",1,CGV Vincom Thủ Đức,0,vé online xếp hàng chờ vé nội đông xếp hàng 1 quầy xuất vé vl,"['vé', 'online', 'xếp_hàng', 'chờ', 'vé', 'nội', 'đông', 'xếp_hàng', '1', 'quầy', 'xuất', 'vé', 'vl']"
pi-ching Liao,một năm trước,"Hãy cẩn thận ví của bạn!
Hãy cẩn thận với đồ đạc của bạn
Sau khi xem phim, tôi phát hiện ví của mình bị mất. …",1,CGV Vincom Đồng Khởi,0,cẩn thận ví cẩn thận đồ đạc phim phát hiện ví,"['cẩn_thận', 'ví', 'cẩn_thận', 'đồ_đạc', 'phim', 'phát_hiện', 'ví']"
Bapcai NguyenVu,5 tháng trước,Đi xem phim bảo khách mua hết ghế..cho 3 bạn nhà mình vào góc kẹt ngồi. Vào xem phim mới hay có 10 ng trong rạp,1,CGV Cresent Mall,0,đi phim bảo mua ghế 3 góc kẹt phim 10 ng rạp,"['đi', 'phim', 'bảo', 'mua', 'ghế', '3', 'góc', 'kẹt', 'phim', '10', 'ng', 'rạp']"
MY TRAN,2 tháng trước,"đầu phim thì chiếu lộn phim phải đi ra kêu sửa, sau đó coi được nửa phim thì bật hết đèn lên, chán chả buồn nói",1,CGV Vivo City,0,đầu phim chiếu lộn phim đi kêu sửa coi nửa phim bật đèn chán chả buồn,"['đầu', 'phim', 'chiếu', 'lộn', 'phim', 'đi', 'kêu', 'sửa', 'coi', 'nửa', 'phim', 'bật', 'đèn', 'chán', 'chả', 'buồn']"
Nguyễn Thanh Tùng,4 năm trước,"Rạp chiếu phim ko mở đen trước và sau khi chiếu lên xuống tối om, mình ý kiến thì nhân viên tỏ thái độ khó chịu",1,CGV Satra Củ Chi,0,rạp chiếu phim ko đen chiếu tối om kiến nhân viên tỏ thái độ,"['rạp', 'chiếu_phim', 'ko', 'đen', 'chiếu', 'tối_om', 'kiến', 'nhân_viên', 'tỏ', 'thái_độ']"
Shinra,8 tháng trước,Đi xem phim đòi căn cước công dân ????? không có đuổi về ???? làm ăn vậy thì cạch đến già không bao giờ đi nữa.,1,CGV Celadon,0,đi phim đòi cước công dân đuổi cạch già bao đi,"['đi', 'phim', 'đòi', 'cước', 'công_dân', 'đuổi', 'cạch', 'già', 'bao', 'đi']"
9-Lưu Minh Hiếu,5 năm trước,"Dơ dáy, lạc hậu. Cơ sở trên trong tòa nhà cũ kỹ, hôi hám, phải chui vào hầm xe nóng bức, hôi tanh mới vào được.",1,CGV Vincom Đồng Khởi,0,dơ dáy lạc hậu sở tòa cũ kỹ hôi hám chui hầm xe nóng hôi,"['dơ_dáy', 'lạc_hậu', 'sở', 'tòa', 'cũ_kỹ', 'hôi_hám', 'chui', 'hầm', 'xe', 'nóng', 'hôi']"
Văn Ngọc Trâm Anh,3 tháng trước,"Mua vé xem phim conan nhưng nhân viên lại đưa quà của phim doraemon
Tới lúc hỏi lại thì nhân viên lại không đổi",1,CGV Satra Củ Chi,0,mua vé phim conan nhân viên quà phim doraemon nhân viên đổi,"['mua', 'vé', 'phim', 'conan', 'nhân_viên', 'quà', 'phim', 'doraemon', 'nhân_viên', 'đổi']"
Ha Ngoc,2 tuần trước,"tệ, quản lý đuổi khác k chịu phục vụ học sinh hùng vương, nch với khách không tôn trọng, đánh đồng hs hùng vương",1,CGV Hùng Vương Plaza,0,tệ quản lý đuổi k phục vụ học sinh hùng vương nch tôn trọng đánh đồng hs hùng vương,"['tệ', 'quản_lý', 'đuổi', 'k', 'phục_vụ', 'học_sinh', 'hùng', 'vương', 'nch', 'tôn_trọng', 'đánh_đồng', 'hs', 'hùng', 'vương']"
Thuận Nguyễn,một năm trước,"Rạp Imax VIVO city có cái vết dơ trên màn hình mà mấy tháng trời không lau được, mất hứng trải nghiệm kinh khủng",1,CGV Vivo City,0,rạp imax vivo city vết dơ màn hình mấy trời lau hứng trải nghiệm kinh khủng,"['rạp', 'imax', 'vivo', 'city', 'vết', 'dơ', 'màn_hình', 'mấy', 'trời', 'lau', 'hứng', 'trải', 'nghiệm', 'kinh_khủng']"
Khoa Tran,3 tháng trước,Máy điều hòa tắt và chúng tôi phải hủy chuyến thứ 4 đáng khinh lúc 17:45!!,1,CGV Pearl Plaza,0,máy hòa tắt hủy chuyến 4 khinh 17 45,"['máy', 'hòa_tắt_hủy', 'chuyến', '4', 'khinh', '17', '45']"
linh thuy,2 tháng trước,"thái độ nhân viên -100000
tự đẩy tiền bắp , nước lên
tự đổi vé xem phim
nhân viên nạt vào mặt khách",1,CGV Giga Mall Thủ Đức,0,thái độ nhân viên 100000 đẩy tiền bắp đổi vé phim nhân viên nạt mặt,"['thái_độ', 'nhân_viên', '100000', 'đẩy', 'tiền', 'bắp', 'đổi', 'vé', 'phim', 'nhân_viên', 'nạt', 'mặt']"
Thành Đặng,2 năm trước,"Quá tệ không có ghế ngồi, cơ sở kinh doanh to đùng nhưng không có tiền mua ghế cho khách ngồi chờ.",1,CGV Vincom Gò vấp,0,tệ ghế sở kinh doanh to đùng tiền mua ghế chờ,"['tệ', 'ghế', 'sở', 'kinh_doanh', 'to_đùng', 'tiền', 'mua', 'ghế', 'chờ']"
Huy Hoang,6 tháng trước,Tệ. Ánh sáng ko đủ. Đag coi tắt máy lạnh. Qq gì dẫy. Đuổi qli đi lm ăn chán bỏ mẹ,1,CGV Vincom Thủ Đức,0,tệ ánh ko đag coi tắt máy lạnh qq dẫy đuổi qli đi lm chán mẹ,"['tệ', 'ánh', 'ko', 'đag', 'coi', 'tắt', 'máy_lạnh', 'qq', 'dẫy', 'đuổi', 'qli', 'đi', 'lm', 'chán', 'mẹ']"
Dr. Tung Official,5 tháng trước,"Nhân viên thái độ rất tệ. Lầm lỳ, lườm khi khách đổi suất, đổi lại combo bắp nước.",1,CGV Lý Chính Thắng,0,nhân viên thái độ tệ lầm lỳ lườm đổi suất đổi combo bắp,"['nhân_viên', 'thái_độ', 'tệ', 'lầm', 'lỳ', 'lườm', 'đổi', 'suất', 'đổi', 'combo', 'bắp']"
Nhất Nguyễn Công,4 năm trước,"Đặt vé 10h10 đến nơi bảo vệ ko cho lên???
Gọi hotline 1 giọng mất dạy:""ngủ rồi"" :v",1,CGV Saigonres Nguyễn Xí,0,"vé 10h10 bảo vệ ko gọi hotline 1 giọng dạy ""ngủ rồi"" v","['vé', '10h10', 'bảo_vệ', 'ko', 'gọi', 'hotline', '1', 'giọng', 'dạy', '""', 'ngủ', 'rồi', '""', 'v']"
Kim Kim,một năm trước,"Rạp mắc tiền mà ghế kêu cọt kẹt thấy ghê, ngồi ko dám nhúc nhích mà vẫn nghe tiếng",1,CGV Vivo City,0,rạp mắc tiền ghế kêu cọt kẹt ghê ko dám nhúc nhích tiếng,"['rạp', 'mắc', 'tiền', 'ghế', 'kêu', 'cọt_kẹt', 'ghê', 'ko', 'dám', 'nhúc_nhích', 'tiếng']"
Nguyen Duy Anh Tai,một tháng trước,Khách có vé nhưng nhân viên không cho vào nhà vệ sinh vì chưa đúng giờ chiếu phim!,1,CGV Vivo City,0,vé nhân viên vệ sinh chiếu phim,"['vé', 'nhân_viên', 'vệ_sinh', 'chiếu_phim']"
Hung Nguyen,một năm trước,"Máy lạnh không hoạt động, rạp nóng xem phim rất khó chịu. Gửi xe không được trợ giá",1,CGV Cresent Mall,0,máy lạnh hoạt động rạp nóng phim gửi xe trợ giá,"['máy_lạnh', 'hoạt_động', 'rạp', 'nóng', 'phim', 'gửi', 'xe', 'trợ_giá']"
Komid Fox (Lumine),một tuần trước,"Tôi phải trả thêm 15k cho bắp rang này à?
Đây là một nơi tồi tệ cuối cùng là ở đâu?",1,CGV Giga Mall Thủ Đức,0,15k bắp rang tồi tệ,"['15k', 'bắp', 'rang', 'tồi_tệ']"
Nguyện Trần,5 năm trước,Ban đêm không giữ vé mất 24k . Nhân viên không triển khai luôn lúc làm thủ tục vào.,1,CGV Vincom Thủ Đức,0,ban đêm vé 24k nhân viên triển khai thủ tục,"['ban_đêm', 'vé', '24k', 'nhân_viên', 'triển_khai', 'thủ_tục']"
Lê Vũ Hoàng Khanh,5 năm trước,"Tới giờ chiếu mà vẫn chưa mở máy, ngồi coi quảng cáo thêm một lát lâu mới chiếu phim",1,CGV Pearl Plaza,0,chiếu máy coi quảng cáo lát chiếu phim,"['chiếu', 'máy', 'coi', 'quảng_cáo', 'lát', 'chiếu_phim']"
Nguyễn Hồng Phúc,4 năm trước,Khách ẵm con nít chưa biết nói vào rạp xem luôn mà soát vé vẫn cho qua là sao? Ồn ào,1,CGV Pearl Plaza,0,ẵm nít rạp soát vé ồn,"['ẵm', 'nít', 'rạp', 'soát', 'vé', 'ồn']"
tu le anh,4 tháng trước,"Ghế sweetbox thúi thấy gớm, không vệ sinh mùi mồ hôi mùi mốc ngồi coi phim mà mắc ói",1,CGV Hoàng Văn Thụ,0,ghế sweetbox thúi gớm vệ sinh mùi mồ hôi mùi mốc coi phim mắc ói,"['ghế', 'sweetbox', 'thúi', 'gớm', 'vệ_sinh', 'mùi', 'mồ_hôi', 'mùi', 'mốc', 'coi', 'phim', 'mắc', 'ói']"
Hoàng Lê Giang,4 năm trước,Nhà vệ sinh bẩn. Sau 11 giờ tối họ tắt AC nên rạp chiếu phim trở thành phòng tắm hơi.,1,CGV Vincom Center Landmark,0,vệ sinh bẩn 11 tối tắt ac rạp chiếu phim trở thành phòng tắm hơi,"['vệ_sinh', 'bẩn', '11', 'tối', 'tắt', 'ac', 'rạp', 'chiếu_phim', 'trở_thành', 'phòng', 'tắm', 'hơi']"
Kevin Khôi,một năm trước,Chuông báo cháy tắt giữa phim. Hóa ra nó chẳng là gì cả. Làm hỏng trải nghiệm của tôi,1,CGV Vivo City,0,chuông báo cháy tắt phim hóa chẳng hỏng trải nghiệm,"['chuông', 'báo', 'cháy', 'tắt', 'phim_hóa', 'chẳng', 'hỏng', 'trải', 'nghiệm']"
Henry HengYee,2 năm trước,Hội trường Cenima giống như tắm hơi! Nóng và khó chịu! Khó thở nếu không bật điều hòa.,1,CGV Thảo Điền,0,hội trường cenima tắm hơi nóng thở bật hòa,"['hội_trường', 'cenima', 'tắm', 'hơi', 'nóng', 'thở', 'bật_hòa']"
Nguyen Huyen,một năm trước,Mình đang xem trong rạp 7. Rạp nóng và hôi. Đã báo nhân viên nhưng không thấy ai xử lý,1,CGV Cresent Mall,0,rạp 7 rạp nóng hôi báo nhân viên xử lý,"['rạp', '7', 'rạp', 'nóng', 'hôi', 'báo', 'nhân_viên', 'xử_lý']"
Hao LE,8 tháng trước,Nhân viên bán vé có thái độ với khách hàng như kiểu khách hàng đi xin gì của rạp.,1,CGV Vincom Đồng Khởi,0,nhân viên vé thái độ hàng kiểu hàng đi rạp,"['nhân_viên', 'vé', 'thái_độ', 'hàng', 'kiểu', 'hàng', 'đi', 'rạp']"
Trung Nguyen,5 năm trước,Kinh nghiệm khủng khiếp. Tầng hầm đậu xe có mùi giống như một nhà máy xử lý nước thải.,1,CGV CT,0,kinh nghiệm khủng khiếp tầng hầm đậu xe mùi máy xử lý thải,"['kinh_nghiệm', 'khủng_khiếp', 'tầng', 'hầm', 'đậu', 'xe', 'mùi', 'máy', 'xử_lý', 'thải']"
Thien Vu,7 tháng trước,Rạp số 3 có mùi ẩm mốc rất nồng!!! Phải đeo khẩu trang. Vé sweet box gần 300k !?,1,CGV Lý Chính Thắng,0,rạp 3 mùi ẩm mốc nồng đeo khẩu trang vé sweet box 300k,"['rạp', '3', 'mùi', 'ẩm_mốc', 'nồng', 'đeo', 'khẩu_trang', 'vé', 'sweet', 'box', '300k']"
Tiểu Quỷ,8 tháng trước,"nhân viên được đào tạo rất tệ, gian dối mọi cách có thể khi khách mua bắp nước.",1,CGV Vincom Center Landmark,0,nhân viên đào tệ gian dối thể mua bắp,"['nhân_viên', 'đào', 'tệ', 'gian_dối', 'thể', 'mua', 'bắp']"
Khánh An,6 tháng trước,Thái độ nhân viên cần xem lại. Trả lời khách hàng lấp liếm lúc này lúc kia,1,CGV Sư Vạn Hạnh,0,thái độ nhân viên hàng lấp liếm kia,"['thái_độ', 'nhân_viên', 'hàng', 'lấp_liếm', 'kia']"
Jackie Phạm Tường Huy,4 năm trước,"Phòng chiếu phim sạch sẽ và thoải mái!

Tuy nhiên, dịch vụ này quá tệ (!) …",1,CGV Pearl Plaza,0,phòng chiếu phim sạch thoải mái nhiên dịch vụ tệ,"['phòng', 'chiếu_phim', 'sạch', 'thoải_mái', 'nhiên', 'dịch_vụ', 'tệ']"
Huy Vũ,11 tháng trước,"Gần đây ghế quá hôi, đổi mấy chỗ mới có ghế xài được. Mong Cgv bảo dưỡng rạp",1,CGV Thảo Điền,0,ghế hôi đổi mấy chỗ ghế xài mong cgv bảo dưỡng rạp,"['ghế', 'hôi', 'đổi', 'mấy', 'chỗ', 'ghế', 'xài', 'mong', 'cgv', 'bảo_dưỡng', 'rạp']"
Guardian,7 tháng trước,"Không có quầy VVIP, cũng không có quầy lấy vé onl, qli rạp hời hợt với khách",1,CGV Lý Chính Thắng,0,quầy vvip quầy vé onl qli rạp hời hợt,"['quầy', 'vvip', 'quầy', 'vé', 'onl', 'qli', 'rạp', 'hời_hợt']"
Khoa Hoang,5 tháng trước,Đi xem phim mà để đèn nền từ đầu phim tới cuối phim xem rất chói và khó chịu,1,CGV Celadon,0,đi phim đèn đầu phim phim chói,"['đi', 'phim', 'đèn', 'đầu', 'phim', 'phim', 'chói']"
Nhung Hồng,7 tháng trước,"Rạp có mùi khó chịu quá, ghế dơ, và rạp nóng kinh khủng như ko bật máy lạnh.",1,CGV Saigonres Nguyễn Xí,0,rạp mùi ghế dơ rạp nóng kinh khủng ko bật máy lạnh,"['rạp', 'mùi', 'ghế', 'dơ', 'rạp', 'nóng', 'kinh_khủng', 'ko', 'bật', 'máy_lạnh']"
hoang anhdung,9 tháng trước,Người xem phim rất mất lịch sự khi nói chuyện chụp hình trong rạp chiếu phim,1,CGV Vincom Đồng Khởi,0,phim lịch chụp hình rạp chiếu phim,"['phim', 'lịch', 'chụp', 'hình', 'rạp', 'chiếu_phim']"
Minh Tuyến,3 tuần trước,"Giật lag nguyên buổi, không xem được phim, không giải quyết được gì cho khách",1,CGV Liberty Citypoint,0,giật lag nguyên phim giải quyết,"['giật', 'lag', 'nguyên', 'phim', 'giải_quyết']"
Duyên Nguyễn,5 tháng trước,"Nhân viên tệ,phục vụ tệ,coi phim nhưng đèn sáng chưng :) 1 sao không ns nhiều",1,CGV CT,0,nhân viên tệ phục vụ tệ coi phim đèn chưng 1 ns,"['nhân_viên', 'tệ', 'phục_vụ', 'tệ', 'coi', 'phim', 'đèn', 'chưng', '1', 'ns']"
HÙNG VY NGỌC,6 năm trước,"Không nhân viên hướng dẫn, quảng cáo quá lâu, đèn quá sáng không thể xem phim",1,CGV Pandora City,0,nhân viên hướng quảng cáo đèn thể phim,"['nhân_viên', 'hướng', 'quảng_cáo', 'đèn', 'thể', 'phim']"
