reviewer,time,context,ranking,Chi nhánh,Sentiment
匋清琳,4 tháng trước,"Mình đã đi chi nhánh này rất nhiều lần và có đôi lần mình cũng có những trải nghiệm khá tệ về các bạn staff ở đây, nhưng hôm nay có thể nói là  1 trải nghiệm mà khiến mình cạn lời luôn ấy. Mình với bạn có bảo là chúng mình áp dụng chương …",1,CGV Vincom Center Landmark,0
Trinh Lương,6 tháng trước,"trải nghiệm thậm tệ khi xem phim ở sư vạn hạnh, bth mình đi xem phim mình k bao giờ giữ lại vé xem phim làm gì cả. hôm nay mình có đi xem phim buổi tối, ví dụ có vấn đề gì khi gửi xe mà cần xuất vé xem phim vào lúc lấy xe thì nv cgv phải …",1,CGV Sư Vạn Hạnh,0
Nguyễn Thị Thanh Thúy,3 tháng trước,"Hôm nay 20h33’ ngày 18/08/2024 mình có mua vé phim tại đây, lúc đầu nghe nhân viên bảo mua combo bắp nước được trừ 1 vé xem phim. Lúc lại mua thì nhân viên dồn dập, không nói rõ combo đó gồm những thứ gì. Xong nhân viên ấy cứ lia lịa bấm …",1,CGV Vincom Gò vấp,0
Thảo Trần,5 tháng trước,"Nhân viên thiếu trung thật khi tư vấn bán combo bắp nước cho khách.Mình mua 1 bắp ngọt+1 nước tính mình 119k , mình hỏi lại sao bth mua qua momo chỉ 89k thì bạn kêu mình lên mạng mà mua.Mình hỏi 2 nước ngọt 1 bắp thì bao nhiêu, nhân viên …",1,CGV Sư Vạn Hạnh,0
Phúc Khang Dư,một năm trước,Mình có sử dụng thẻ thành viên của CGV và đang trong tháng sinh nhật của mình nhưng không thấy bạn nhân viên quầy đề cập gì đến quà tặng sinh nhật được áp dụng trong tháng sinh nhật làm mình phải sử dụng điểm để đổi nước. Thứ hai là các …,1,CGV Sư Vạn Hạnh,0
Nguyễn Hữu Đại,một tháng trước,"Đến mua vé trực tiếp tại quầy cẩn thận bị chúng nó lừa up combo :))
Bọn này lươn lắm đ giải thích cho khách hàng mà tự ý up luôn lúc tính tiền thì cứ nói cái này trong combo của mình cái này trong combo của mình mà mình đ biết …",1,CGV Lý Chính Thắng,0
Hải Nguyễn Văn,8 tháng trước,"Mình có đật 2 vé IMAX vào cuối tuần, tới nơi thì k còn chỗ để xe, xung quanh cũng hết chỗ. Vừa mất vé, vừa mang  bực trong người. Cuối tuần thì k nên vô đây hoặc có thì hãy đi thật sớm. Tốt nhất là lựa các CGV chi nhánh khác cho yên tâm.",1,CGV Vincom Center Landmark,0
Trần Thị Khánh Duyên,một năm trước,"Chiều sau khi xem phim nun 2 xong, có đi ngang chị lao công đang ngồi gần thùng rác ngay trước cửa phòng preminum, c bảo vứt rác vào xô của chị, bạn tôi còn sử dụng và chưa muốn vứt( bắp và nước), mà c cứ kêu vứt liên tục dù bạn tôi từ …",1,CGV Vincom Đồng Khởi,0
Quynh Nhu,5 tháng trước,"Tôi vừa có một buổi xem phim khá tệ vào ngày 1/7/2024 vào lúc 15:00.
Các bạn nhân viên rất dễ thương, nhưng chất lượng hình ảnh khá kém. Màn hình rất tối đến mức vào nhiều cảnh chúng tôi không thấy được mặt của diễn viên, và tôi …",1,CGV Pearl Plaza,0
Trung Hau Nguyen,3 năm trước,"Nhân viên xấu tính, hạch sách khách mua vé. Dùng CGV member để mua vé mà không cho, trong khi trước đó thì cho. 1 tháng nhân viên được 4 lần xem free phim thì ai coi cũng như nhau, sau cứ phải chính chủ thẻ mới được. Không hiểu nổi",1,CGV Vincom Gò vấp,0
Kim Ngân Trần Nguyễn,9 tháng trước,"K muốn trách Nhưng
Từ khâu hướng dẫn lối đi là mình đã khó chịu nhẹ r
nhân viên thái độ TỆ từ lúc mua vé đến lúc mình quay lại mua bắp và nước .
Nếu có chạy doanh số thì nói làm sao nghe cho lọt tai khách còn vui vẻ mua để ủng hộ .",1,CGV Saigonres Nguyễn Xí,0
Hùng Bùi Đức,4 tháng trước,"Cháu tao bé tí mới cấp 2 không mang giấy tờ nó tính vé người lớn, trong khi nó bé như con chuột nhắt. Mặt nvien thì robot vô hồn nói tỉnh bơ như bọn bú đá. Mã giảm giá áp dụng thì rác tao mới có 23 tuổi thì chúng nó bảo 2k2 mới được.",1,CGV Lý Chính Thắng,0
hieu nguyen,5 năm trước,Đi xem phim 2h30 chiều. Giờ vắng khách mà nhân viên (Thanh. T) nói năng thiếu tôn trọng khách hàng. Tỏ thái độ bực dọc với khách dù đứng không chẳng làm gì. Sẽ không quay lại rạp nếu vẫn còn những bạn nhân viên như vậy! Tệ quá nha !!!,1,CGV Sư Vạn Hạnh,0
hong quyen Duong,một năm trước,"Không bao giờ được vào đúng giờ, mùi dầu mỡ chiên rất nồng nặc dính mùi quần áo rất khó chịu, mùi từ thang máy tới quầy vé lan tới khu ngồi chờ, tưởng như đang vào khu chiên xào của cả thành phố không có thoát hơi. Trải nghiệm rất tệ.",1,CGV Hoàng Văn Thụ,0
phuong nguyen,5 năm trước,Hôm nay mình dắt vợ và con đi coi phim dumbo tại cụm rạm CGV Trường Chinh. Cảm nhận là rất mất hết hứng coi phim khi bạn bán vé cố tình bấm cho mình phần bắp nước special combo của phim avenger trong khi mình đã yêu cầu phần bắp nước …,1,CGV Pandora City,0
Vidia Vuong,5 năm trước,"Nơi điên rồ để trở thành một rạp chiếu phim. Mọi người ồn ào, ăn uống bất lịch sự, nói chuyện điện thoại, nói chuyện với nhau. Nhân viên bưng đồ ăn vào trong rạp cho khách...... TRONG PHIM!!!
Thành thật mà nói thì giống như chợ trời 😒 …",1,CGV CT,0
R-R,một năm trước,"Tôi có chút thời gian rảnh khi quá cảnh ở sân bay nên tôi quyết định đến đó.
Có một cửa hàng tiện lợi (7-Eleven) và một quán cà phê ở tầng một, nhưng từ tầng hai trở đi không có người thuê. Khi tôi nhìn vào Google Maps, nó trông giống …",1,CGV CT,0
Đức Nguyễn Văn,3 tháng trước,Nhân viên tư vấn lươn lẹo . Mình có nhu cầu mua bắp nc nên kêu nv tư vấn combo cho mình chọn . Tư vấn mua combo 149 bắp mix và 2 nc lớn . Thì bảo có vị bắp mới kêu mình thử cái mình chọn mua combo thì kêu là vị bắp mới hết r ăn tạm 2vị …,1,CGV Giga Mall Thủ Đức,0
2244_ Nguyễn Tuyết Nhung,một năm trước,"Cgv pandora không hỏi ý khách tự ý bấm bill combo bắp nước kakao gì đó gần 300k trong khi mình chỉ muốn mua ly nước giấy bịch bắp vậy mà bạn nhân viên tự ý bấm level combo cho mình không hỏi ý kiến, tiền vé xem phim còn rẻ hơn tiền bắp …",1,CGV Pandora City,0
Tierra W,một năm trước,Tôi khá thất vọng.  Phim có ghi phụ đề tiếng Anh trên mạng nhưng khi xem phim thực sự thì không có phụ đề tiếng Anh như đã hứa. Ngoài ra họ chỉ đổ đầy đồ uống của tôi 3/4 chặng đường. Không chắc chắn tôi sẽ giới thiệu rạp chiếu phim này.,1,CGV Giga Mall Thủ Đức,0
Nguyen Nguyen,3 tháng trước,Nhân viên ở quầy food thái độ rất tệ và định lừa dối khách hàng. Mua 1 bắp 1 nước nhưng nv k tư vấn và tự động bấm thêm 1 món kèm lên 129K. Mình đã từng mua kiểu upsale này nên tính bỏ qa. Nhưng bạn nv lại k đưa thêm phần bánh và k đưa …,1,CGV Celadon,0
Lee Lee,một năm trước,"Mình xem phim suất 10 giờ tối, khi mới vào rạp cũng đông khách nhưng máy lạnh hoạt động vẫn mát, coi đến giữa phim thì nóng ngang, mình có hỏi thì bạn nhân viên nói do đông khách nên máy lạnh không đủ lạnh, mình có xem qua đánh giá của …",1,CGV Thảo Điền,0
Ngân Nguyễn Thị Ngọc,5 tháng trước,"Sao xuất phim trẻ em mà quảng cáo đầu phim CGV lại quảng cáo phim kinh di giết chóc v? Mua vé xem phim cho con coi Doraemon vừa mà chx coi nx con đã khóc toáng lên, các bố mẹ khác cũng hoảng vô cùng khi mà phim trẻ em lại cho quảng cáo …",1,CGV AEON Bình Tân,0
Kim Ngan,6 tháng trước,"Sinh nhật t4 đi xem phim báo trình thẻ thành viên, thì bảo thẻ thành viên tháng 5 nên ko đc ưu đãi, xong mình kêu v cập nhật lại cho mình thì nhân viên thái độ  như kiểu mình đòi bắp nước ý ""chị cập nhật cubgx ko đc liền nha chị 8 ngày …",1,CGV CT,0
Kim Hậu Võ Hoàng,3 tháng trước,"Hậu xem cgv này đã nhiều lần. Và em đưa ra nhận xét sau nhiều lần trải nghiệm tại chi nhánh này.
Nhân viên và quản lý thái độ rất tệ, khinh khỉnh, cười cượt khách với nhân viên. …",1,CGV Pearl Plaza,0
Lê Nguyễn Trúc Huyền,một năm trước,"Nay mới đi coi conan thấy thất vọng quá (suất 11h50)
-Chỗ bán vé thì ko ai bán,mà bán vé ở quầy bắp nước :)), bán chung bắp nước làm mình ko phân biệt đc luôn, xếp hàng cho đã vô cái mới biết đi lộn quầy bắp …",1,CGV Vincom Thủ Đức,0
Nhi Nguyễn,một tháng trước,"Rạp thiếu trách nhiệm, khó chịu vô cùng, khán giả yêu cầu hàng loạt thì cãi lại, trốn tránh. Trải nghiệm vô cùng tệ. Nói mở loa lớn lên thì kêu giờ trailer nhỏ th tí nó to lắm, tới lúc đó mở nhỏ kh được hả :))",1,CGV Hùng Vương Plaza,0
Đông Y,10 tháng trước,"Mình hỏi cgv combo thì báo giá premium cgv combo 127k, lấy vị bắp caramel thì tính thêm 9k, là tổng 136k.
Mình về nhà mới thấy caramel thì ko thêm tiền, combo 127k thì có thêm snack, …",1,CGV Sư Vạn Hạnh,0
Mon Nguyen,2 năm trước,"TTTM này rất vắng, hầm giữ xe rất tối và nguy hiểm cho phụ nữ khi đi 1 mình, nhà vệ sinh rất dơ
Rạp CGV màn hình rất tối và ghế rất bẩn nên cân nhắc khi đến rạp rất rất cũ ít khi tu sửa",1,CGV Pandora City,0
nguyen tuanh,8 tháng trước,"Trải nghiệm không vui!!!
Mình đi xem phim, có ghé mua 1 bắp và 1 nước, bạn nv tính mình 160k. Mình thanh toán và nhận bắp nước. Trong lúc chờ người nhà mình có nhìn màn hình quảng cáo …",1,CGV AEON Bình Tân,0
Alvin Wu,5 tháng trước,"Rạp 6 coi mấy lần, lần nào phim cũng bị tối màu. Mà báo nhân viên với quản lí đều không giải quyết, cứ nói màu phim mặc định là như vậy.
LÀM VIỆC VÔ TRÁCH NHIỆM KHÔNG THỂ CHẤP NHẬN ĐƯỢC",1,CGV AEON Bình Tân,0
An Tu,3 tháng trước,"Miệng dạ dạ thưa thưa nhưng có thái độ với khách, KHÔNG TIN TƯỞNG khách hàng, ĐÁNH GIÁ KHÁCH QUA VẺ NGOÀI
Dẫn em 16 tuổi đi xem phim C13 bị kiểm cccd, vì đi gấp nên không mang theo với …",1,CGV Hùng Vương Plaza,0
Anhthi Hodac,8 tháng trước,"Xuất chiếu 8h35 nhưng 8h40 đèn hành lanh chưa mở, rạp ko ai soát vé, trong rạp ko có đèn. Nhân viên tại quầy đùa giỡn, nói chuyện với nhau rất to. CGV nên xem lại cách vận hành của mình.",1,CGV Lý Chính Thắng,0
HOÀNG HỒ,4 tháng trước,"- Ngày 28/7/24 mình đi coi ở rạp 1
- Màn hình chiếu : mờ , rung , đèn nhấp nháy liên tục xuyên suốt cả phim gây khó chịu nhức đầu , trải nghiệm rất tệ
=> Hy vòn cụm rạp Nguyễn Xí nâng cấp",1,CGV Saigonres Nguyễn Xí,0
01.Nguyễn Trà Phương An,3 tháng trước,Mình thấy nhân viên ở đây phục vụ có thái độ không tốt với khách hàng .Lúc 15:00h vào T6/9/8/2024 có một bạn nhân viên nữ bán vé cho tụi mình khi hỏi về vấn đề mua vé bạn ấy rất khó chịu .,1,CGV Hùng Vương Plaza,0
Nam Trọng,5 tháng trước,"Trời giữa hè nóng, mà vô rạp còn nóng hơn ở ngoài. Sợ tốn tiện hay gì ko dám bật máy lạnh.
Nhân viên oder thì ko giới thiệu món nước hay bắp nào, đợi hỏi xong nói mà thái độ kênh kênh. Bye",1,CGV Lý Chính Thắng,0
Trinh Hoàng Thị Ngọc,6 tháng trước,"ẤN PHẨM POSTER DORAEMON VÀ RẠP CHIẾU CGV
Mình đặt 2 vé xem phim Doraemon suất chiếu sớm ( mình chọn giờ chiếu sớm nhất của rạp vào lúc 9h20 ). Rạp chiếu lúc này chỉ dưới 20 người xem nha. …",1,CGV Vincom Gò vấp,0
Edward Elric,2 tháng trước,"Hôm nay mình đi xem phim thì có nhờ bạn nhân viên tóc đỏ hồng tư vấn thì bạn có thái độ nói chuyện rất cục cằn, khó chịu, xem thường khách hàng. Mong CGV xem lại cách làm việc của nhân viên",1,CGV Giga Mall Thủ Đức,0
Nhựt Quang Nguyễn,8 tháng trước,"Rạp CGV dơ nhất từng đi.
Nhân viên không tư vấn mà lừa khách mua combo nước + ly mặc dù khách không có nhu cầu mua ly (nhân viên sẽ nói combo nước bắp sẽ tặng ly trong khi ly có tính tiền).",1,CGV Hoàng Văn Thụ,0
My Nguyễn,3 tháng trước,"Các bạn nhân viên cgv RẤT TÊN , lúc ord tự ý thêm đồ rồi lấy thêm tiền của khách mà ko hỏi khách có lấy hay ko.
Mua 2 vé 1 bắp 1 nước 272k. Các bạn tự ý thêm ly thêm bánh các thứ tính hồi …",1,CGV Giga Mall Thủ Đức,0
Cuong Le,một năm trước,"Tệ ! Nhân viên quên k nói khách phải giữ vé xem phim lại để xuống bãi xe, quay lên nói thì ok tạm chấp nhận, nhưng khi lấy đc thì bị bảo vệ làm khó làm dễ k cho lấy xe .trải nghiệm tồi tệ !",1,CGV Vincom Đồng Khởi,0
Đạt Nguyễn,9 tháng trước,Đi xem mấy lần xuất chiếu khuya sau 10h tối thì đều không thấy mở máy lạnh. Xem sớm sau 10h tối thì còn đỡ chứ mà xem xuất cuối như là 23:20 thì thôi vừa ngồi xem vừa đổ mồ hôi ướt cả áo 😅 …,1,CGV Thảo Điền,0
Nghĩa 6 múi,11 tháng trước,"Nhân viên phục vụ không cung cấp đầy đủ thông tin của các combo bắp nước, mình chỉ yêu cầu 1 bắp một nước nhưng lại được bạn nhân viên áp vô combo thêm ly nước 226k, thật sự thất vọng",1,CGV Sư Vạn Hạnh,0
bảo hân,5 tháng trước,"Lần đầu tiên đi coi phim ở rạp sư vạn hạnh mà thấy thái độ nhân viên tệ như v. Bình thường đi coi ở sư vạn hạnh thấy dịch vụ rất tốt, nhân viên thân thiện nhưng lần này thật sự quá thất vọng.",1,CGV Sư Vạn Hạnh,0
Du lịch với Phát Đạt,5 tháng trước,"Hôm nay 20/06/2024, mình đi coi phim đánh giá rạp này rất tệ, cái dịch vụ không xứng đáng với giá tiền.
Vấn đề 1 : Lúc mua thêm bắp nước mình yêu cầu thanh toán bằng Samsung Pay thì …",1,CGV Giga Mall Thủ Đức,0
Lê Anh Tuấn,một năm trước,Combo bắp + nước 89k . Nhân viên tự ý lấy phần 100k rồi nói phần này kèm thêm bịch bánh miễn phí ? Chênh lệch vậy mà kêu miễn phí ? Thái độ nhân viên khó chịu khi khách hàng hỏi lại .,1,CGV Celadon,0
Phong Duong Thanh,một tháng trước,"Rạp phim lừa khán giả khi mua bắp nước, mỗi lần mua bắp nước là nhét thêm sản phẩm khác để trả tiền thêm. Không để ý thì thôi, để ý thì liền móc tiền ra thối lại. Cái đám khôn lỏi",1,CGV Celadon,0
Thắng Chera,2 năm trước,"Nhân viên hách dịch, lạm quyền. Đã nhờ yêu cầu in vé khi mất vé. Nhưng phải chờ xác minh theo quy định. Thủ tục rắc rối, trong khi mình là người đặt vé. Và cuối cùng không hợp tác",1,CGV Lý Chính Thắng,0
Phong Duong Thanh,một tháng trước,"Rạp phim lừa khán giả khi mua bắp nước, mỗi lần mua bắp nước là nhét thêm sản phẩm khác để trả tiền thêm. Không để ý thì thôi, để ý thì liền móc tiền ra thối lại. Cái đám khôn lỏi",1,CGV Sư Vạn Hạnh,0
Happy Phan,4 năm trước,"Khách chưa coi hết film thì bật đèn lên đi dọn rác. Vừa dọn vừa nói coi tiếp đi, dọn xong đi ra tắt đèn như đúng rồi. Trước đó lúc chưa hết phim thì có bật lên 1 lần r tắt ngay. …",1,CGV Vincom Đồng Khởi,0
Quốc Ân,5 năm trước,"Dịch vụ thì quá tải, gọi điện thoại tổng đài ba cuộc rồi, tốn một mớ tiền cuối cùng không ai bắt máy,  một hệ thống chiếu phim lớn như vậy mà dịch vụ quá tệ( Tặng cho một sao nhé)",1,CGV Saigonres Nguyễn Xí,0
FA RIC,một năm trước,"Mình là một người rất thường xuyên đi xem phim ở CGV Cresscent Mall với rạp L'mour ( giường đôi )
Tuần trước mình có ghé xem phim tại rạp L'mour, phim đã bắt đầu chiếu rồi nhưng …",1,CGV Cresent Mall,0
Phuong Thai Ngoc Anh,một năm trước,"Hôm nay 01/09/2023
CGV thật sự làm mình thất vọng vì nhân viên và quản lý làm việc gian dối. Mình đi 4 người và mua 2 combo bắp nước, nhân viên/ quản lý kêu mình đc tặng kèm 2 ly …",1,CGV CT,0
Nguyễn Yên,một năm trước,"Đi coi kẻ ẩn danh xuất 10:10 ngày 26/08, ngồi tới 10:30 rạp vẫn còn chiếu phim hoạt hình, ngồi chờ kh thấy tới phim, cũng kh có điều hoà, chắc tại coi buổi sáng nên kh được qtam :)",1,CGV Vincom Gò vấp,0
Nguyễn Thị Thu Diệu,2 năm trước,"Lúc 21h30 tối ngày 2/11 Nhân viên không tư vấn gói combo mà tự lên bill khi khách hàng chưa biết, mình hỏi lại đây là gì rồi mới nói
Thái độ nhân viên không tốt
Trải nghiệm thật tệ",1,CGV Vivo City,0
Duy Khang Huỳnh,9 tháng trước,"Mình hỏi mua 2 nước ngọt với 1 bắp xong đưa mình gói combo có cái ly tặng kèm tính tổng 276k trong khi đó chả nói là ly tính tiền riêng , mình cứ tưởng là mua bắp nước được tặng ly",1,CGV Hoàng Văn Thụ,0
Kim Trân Nguyễn Ngọc,7 tháng trước,"Mình không mua combo bắp nước tặng kèm ly mà chỉ mua nước không thì nhân viên thái độ hẳn ra mặt, vô cùng tệ, nên training lại service cho khách hàng. Không quay lại rạp ở cụm này!",1,CGV Lý Chính Thắng,0
Duy Tường Phạm,2 năm trước,mình là 1 fan của phim my hero academia nên mình rất muốn xem movie 3 của phim này nhưng chỉ vì nhỏ tuổi nên mình lại không xem được movie 3 😭😭😭 nên mình hét người đưa ra luật này …,1,CGV Vincom Center Landmark,0
Ramsey Duong,4 tháng trước,cực kì cực kì bẩn luôn á mọi người. ngồi vừa mùi vừa côn trùng nó bu zô ngứa ngáy. sợ lắm luôn. dưới ảnh là đúng số ghế mình ngồi. do quá dơ nên mình phải đổi sang ghế khác đỡ dơ hơn,1,CGV Cresent Mall,0
Tuan Tran Quoc,5 tháng trước,Lịch chiếu phim Doraemon lúc 8h20 ngày 19/6/2024 dắt con nhỏ tới mua vé nhân viên báo rạp bị lỗi không chiếu được. Nói xong thì coi như không có chuyện gì kêu khách coi phim khác đi!,1,CGV Sư Vạn Hạnh,0
Hang Nguyen,một năm trước,"Một trải nghiệm thật tệ khi xem suất chiếu 22h ngày hqua.
Nhân viên xử lí sự cố thậm tệ, nói 2 lời.
Suất chiếu 22h bị hủy thì nói với khách đi, còn bày đặt nói tòa nhà cúp điện nên …",1,CGV Pearl Plaza,0
Trang Đào,3 năm trước,"Phim suất 9:50, ngồi đến 10:10 mà tiếng thì mở , màn hình đen k mở. Phía bên ngoài thì ko mở máy lạnh.
Chán ghê đã mua chỗ giá cao rồi để gia đình đi vui vẻ mà vầy ko bao h đi cgv nữa",1,CGV Vincom Thủ Đức,0
Minh Tới Nguyễn,một tháng trước,"Vé thì ok đó mà bắp nước thì ko chấp nhận được
Hỏi mua 1 bắp 1 nước thì kêu là có combo j đó đc chọn ly mà tôi thấy giá 259k quá bất hợp lí nên hỏi lại nhân viên có nước thường ko kèm ly ko thì bảo ko có nên …",1,CGV Vincom Gò vấp,0
Doctor Justin,4 năm trước,"Tôi có một trải nghiệm cực kì tệ tại CGV Thủ Đức
- Kiểm soát vé ko có người. Tôi phải chờ và kiếm một hồi thì anh kiểm soát vé nằm trong quầy nước, kêu tôi lại quầy nước để ảnh kiểm tra vé. …",1,CGV Vincom Thủ Đức,0
Lan Ho,8 tháng trước,"Giá vé ko pải thấp mà chất lượng phục vụ kém quá:
- Ng nhà đặt nhầm hag D hơi gần màn hình xin đổi lên hàng cao bù thêm tiền nhug k dc giải quyết (mặc dù check vé thời điểm đó vẫn còn trống) …",1,CGV Celadon,0
Dan ny,4 tháng trước,"Bảo mật $$ ngu ngốc. Mọi người ngu ngốc như địa ngục. Ngay cả khi bạn yêu cầu hỗ trợ, họ thậm chí còn không quan tâm. Thành thật mà nói, đừng lãng phí thời gian của bạn ở đây. Không ai đến đây cả.",1,CGV Giga Mall Thủ Đức,0
Việt Phan,một năm trước,"Thấy cũng bình thường, nhân viên H&M khá là tệ . Cùng 1 gia đình xếp hàng mà còn phân biệt khách trước khách sau. Đứng chung hàng thì cầm mấy bao thanh toán mấy bao chứ=)) vcl bắt ra xếp lại từ đầu",1,CGV Vincom Đồng Khởi,0
Văn Tiến Lê,9 tháng trước,"Cái rạp này toàn thành phần gì đâu không, nhân viên thì ngu, gọi tổng đài thì nó giải quyết như con lợn. Cái web,app, page như rác, đcm lấy tiền cho ăn xin còn hơn vô cái rạp này xem phim nhé anh em!",1,CGV Saigonres Nguyễn Xí,0
Adv Myx,11 tháng trước,"Rạp CGV mà ko đồng bộ như CGV khác. Ghế đôi làm kiểu lừa tình, là 2 ghế thường chập lại, gạt tay gác lên, ko có tấm chắn cho sự riêng tư. Vậy cũng phụ thu thêm phí như CGV khác. Dỏm y chang bên galaxy",1,CGV Pandora City,0
Nhat Do,5 năm trước,"Rạp quá tệ, tiết kiệm điện nên không mở máy lạnh ở nhiệt độ phù hợp (khán phòng hơn 300 ghế) - ghế ngồi rất không thoải mái dù 250K / vé. Chất lượng phim 3D dù là IMAX chỉ đạt 5/10 (trung bình kém). …",1,CGV Vincom Center Landmark,0
Ngân Võ,7 tháng trước,"Nhân viên ở đây làm việc k chuyên nghiệp
Trong khi các rạp phim khác chỉ cần đưa mã QR cho NV check thì sẽ được vào rạp, thì ở đây buộc phải tới quầy xếp hàng lấy vé hoặc in tại máy in. Xếp hàng lấy …",1,CGV Sư Vạn Hạnh,0
Nguyễn Thị Hoa,một năm trước,"Tạp vụ khi dễ khách. T vừa từ lầu 4 bước lên lầu 5 chưa kịp lấy vé, mà vừa đi làm về mắc vs quá nên zô toilet trước mà bà cô tạp vụ nói ""Khách lầu 4 xuống lầu 4 đi vệ sinh."" Với tông giọng cực kỳ cao …",1,CGV Pearl Plaza,0
Thị Thanh Tuyến Nguyễn,một năm trước,Lần đầu tiên đến 1 rạp cgv mà không có 1 nhân viên trực nào. Tới giờ khách tự vào rạp tự xem không có ai hướng dẫn hay kiểm tra. Không biết do thiếu người hay như thế nào nhưng nhìn không chuyên nghiệp,1,CGV Vincom Gò vấp,0
Thành Thiên,3 năm trước,"Nếu dịch Covid không mở, thì đóng luôn đi. Còn đã làm thì làm cho tốt, giống như triết lý kinh doanh của CJ. Vào xem phim mà nóng ko thể tả nổi. Bắp thì mềm. Thiệt ko thể tả. Quá đắt những gì tôi bỏ ra",1,CGV Vincom Thủ Đức,0
Ngoc Pham,một năm trước,"Phim Oppenheimer xem ở rạp CGV ở Vivo City mặc dù nội dung rất hay, nhưng rạp để loa quá to. Phim có những đoạn âm thanh to đột ngột, mà loa quá to làm người xem có cảm giác sợ và bị ảnh hưởng thính lực.",1,CGV Vivo City,0
Thị Cẩm Tiên Nguyễn,7 tháng trước,"Nhân viên coi lại thái độ làm việc, bấm bill đồ uống thành 2 khách đã từ chối nhận nhưng vẫn năn nỉ vì lỡ ra bill, mình ts trễ giờ phim r mà còn gặp sự cố v đứng năn nỉ càng mất thgian nên thoi kêu lấy lun",1,CGV Pearl Plaza,0
Trang Nguyễn,một tháng trước,Đi sáng lúc 9h ở đây mà vincom thì đóng cửa. Đi thang máy thì kh lên đc lầu 5. Phải đi vòng vòng. Đi đường nào bảo vệ cũng đuổi. Kêu đi đường kia đi. Còn đường nào thì kh ai chỉ :)))). Bảo vệ có như không.,1,CGV Saigonres Nguyễn Xí,0
Martin David,5 năm trước,"Quán bún chả quá tệ,phục vụ quá tệ,xem thường khách hàng, bưng đồ ăn ra mà tôi nghĩ quản lý không chỉ dẫn các em lễ phép,,tệ thật tệ,khăn lạnh không có nổi cái đĩa để lên,chứng tỏ không tôn trọng khách hàng",1,CGV Vincom Đồng Khởi,0
Dustin N,một năm trước,"Tôi đã có một trải nghiệm khủng khiếp tại trung tâm mua sắm này. Bãi đậu xe đã đầy và tôi phải vòng quanh 20 phút để tìm chỗ.
Sau đó tôi phải đợi thêm 10 phút nữa để thang máy đến và thêm 10 phút nữa để lên …",1,CGV Sư Vạn Hạnh,0
Nadia Nguyễn,2 tháng trước,"Vé thì ok đó mà bắp nước thì ko chấp nhận được
Hỏi mua 1 bắp 1 nước thì kêu là có combo j đó đc chọn ly mà tôi thấy giá 259k quá bất hợp lí nên hỏi lại nhân viên có nước thường ko kèm ly ko thì bảo ko có nên …",1,CGV Vincom Gò vấp,0
Toàn Vivu Vút,một năm trước,"Nhân viên quá tệ, mình tv vip đến lấy vé tặng birthday nhân viên thái độ không trừ điểm mặc dù mình đã nói trước, cuối giao dịch không xác nhận lại. Khi mình hỏi lại bạn lại còn khí chịu với mình.",1,CGV Vincom Thủ Đức,0
Chau Ngoc,3 tháng trước,"MỘT TRẢI NGHIỆM CỰC KÌ TỒI TỆ
Từ thái độ nhân viên quầy đặt vé tới quầy bán nước đều rất cợt nhã với khách hàng. Khi mình có ý muốn xem thử hàng ghế của 2 suất phim đã bị nhân viên tại quầy …",1,CGV Sư Vạn Hạnh,0
Thuong Ly,một năm trước,"Thái độ nhân viên nữ, kẻ mắt mèo, làm việc vào 14 giờ 30 ngày 16-4-2023 siêu tệ. Khó chịu, cộc lốc với khách lớn tuổi.
Chúng tôi sẽ cân nhắc có đến chi nhánh này của CGV để xem phim nữa hay không.",1,CGV Liberty Citypoint,0
DO THI TUYET Nga,8 tháng trước,"Mình rất là không hài lòng về cách làm việc rập khuôn và không khoa học của các bạn nhân viên CGV Vincom Đồng khởi.
Mình đến xem phim Quật mộ trùng ma, bắt yêu cầu kiểm tra CCCD vì phim 16+. Ok …",1,CGV Vincom Đồng Khởi,0
Tùng Dương Nguyễn,một tháng trước,"Lần đầu trải nghiệm dịch vụ xem phim tại CGV Celadon Tân Phú nhưng không hề tốt. Nhân viên hời hợt, mất tập trung; bỏng nước dở, tệ; âm thanh ánh sáng quá to, đau đầu. Trải nghiệm quá là tệ👍 …",1,CGV Celadon,0
Huy Nguyen,một năm trước,"Mình đi xem phim ở CGV thì rạp ở đây có cho súc vật coi phim chung với người dẫn đến
trải nghiệm xem phim tệ vì quá ồn ào, hình ảnh tốt, âm thanh tuyệt, chỉ tiếc ở khoản rạp không cấm súc vật.",1,CGV Vincom Thủ Đức,0
KT music 2018,7 tháng trước,"@KT musi  2024 ( YouTube Chanel)
Đầu tuần tại Aeon Mall Bình Tân Hàng hoá thực phẩm đầy tràn không thiếu thứ gì cần mua cả, sáng nay khách tấp nập ra vào, không gian thoáng, sạch sẽ hệ thống …",1,CGV AEON Bình Tân,0
Khoa Nguyễn Tuấn,6 năm trước,"Bỏ tiền ra đi ghế giường nằm mà cái mền hôi quá nên về mình bị viêm mũi.
Mang tiếng là phục vụ nước trà thoả thích, nhưng nhân viên đi đâu mất. Ko lẽ đang coi film phải gào lên ""Trà trái cây?""",1,CGV Hoàng Văn Thụ,0
